STT,SYS_DATETIME,NE_NAME,DEVICE_CODE,BEARER_MME_UTIL,BEARER_4G,CREATE_DEDICATED_BEARER_SR,CSFB_SR,DEDICATED_BEARER_MME,EASR,INTRA_TAU_SR,PGW_BEARER_SR,PGW_BEARER_UTIL,S1_INTRA_HANDOVER_SR,S1_PAGGING_SR,SAU_4G,SAU_UTIL_4G,SERVICE_REQUEST_SR,SGW_BEARER_SR,SG_LU_SR,SMS_PAGGING_SR,THROUGHPUT_4G,THROUGHPUT_UTIL,NO_PGW_IMS_BEARER,NO_PGW_IMS_SUBS,NO_PGW_SUBS,SYS_DATE,SYS_TIME
56539,2026-08-01 22:30:00,NE_000019,DEV_000019,,2013621.5649294232,,,,,,100.25094554552223,44.72946056660962,,,,,,101.16067268996414,,,67075.2207596618,45.222550494285784,1208037.5265069946,982319.9428837195,1287456.5086858952,2026-08-01,22:30:00
56505,2026-08-01 22:40:00,NE_000019,DEV_000019,,2028040.4750453022,,,,,,95.82114436608536,43.50514853912645,,,,,,95.90335499106712,,,66143.07285406633,43.22845239870387,1177061.0430433033,932980.2100998256,1371600.1960509068,2026-08-01,22:40:00
56353,2026-08-01 23:20:00,NE_000019,DEV_000019,,1967961.3360359224,,,,,,100.66372944305823,44.87203959873786,,,,,,94.75561991573736,,,50066.699775057,32.5825360715252,1197115.160514697,994162.4508068203,1326586.2162067525,2026-08-01,23:20:00
56083,2026-08-02 00:35:00,NE_000019,DEV_000019,,1907536.0541823525,,,,,,100.12762064482696,44.36648200427228,,,,,,100.03980679758699,,,27960.24493481971,17.993067999672874,1238497.2130550062,985613.369614553,1312336.4078440769,2026-08-02,00:35:00
55901,2026-08-02 01:25:00,NE_000019,DEV_000019,,2004578.5581708448,,,,,,98.43376181949523,44.44155048059977,,,,,,98.72439884775035,,,18541.74062949552,11.801651544469713,1194412.677778319,946704.5625519971,1334990.8879915713,2026-08-02,01:25:00
55681,2026-08-02 02:30:00,NE_000019,DEV_000019,,1963535.4788254239,,,,,,102.21355849747246,40.09439993504081,,,,,,97.75838410245622,,,12316.343925977404,7.888824208031327,1233644.579561653,889650.8302487215,1233423.226510791,2026-08-02,02:30:00
55596,2026-08-02 02:50:00,NE_000019,DEV_000019,,1935780.2711865834,,,,,,98.44405882686566,41.81769642956099,,,,,,104.10034774559472,,,11343.216240876569,7.855324093598092,1199051.7239969056,907047.653386078,1232362.9254646867,2026-08-02,02:50:00
55556,2026-08-02 03:00:00,NE_000019,DEV_000019,,1911357.6972055242,,,,,,99.96039490446466,41.17442342174911,,,,,,99.67191291514895,,,11257.416892641442,7.934710401326748,1260963.6740569966,886628.5415459676,1292429.833035467,2026-08-02,03:00:00
55360,2026-08-02 03:55:00,NE_000019,DEV_000019,,1812598.0691249692,,,,,,100.497669142437,38.693408939464206,,,,,,102.32668961003128,,,10206.704334684702,6.669258936592265,1233651.4869438775,978042.334560495,1222223.2436519885,2026-08-02,03:55:00
55329,2026-08-02 04:05:00,NE_000019,DEV_000019,,1803659.2946361743,,,,,,98.59981997571877,40.62301299956604,,,,,,97.90324677758372,,,10108.194488003215,6.936855143086917,1147676.2024692507,906396.7628675377,1282002.1015539323,2026-08-02,04:05:00
